# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 5.5000e+01, -7.0598e-03
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 7.2000e+01, -2.8286e-02
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 9.0000e+01, -4.6364e-02
1, 7, 1.9700e+01, 3.5000e+01, 1.0000e+00, 9.9000e+01, -5.4228e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.0000e-03, 8.0755e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 2.0000e-03, 7.2343e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 5.0000e-03, 6.2429e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 8.0000e-03, 5.7824e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 5.5743e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 5.1563e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 4.7214e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 4.3245e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 3.9333e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 3.5742e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 3.2620e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 2.9439e-01
